OBJECTID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_Acres_AutoCalc,poly_GlobalID,poly_Source,irwin_ABCDMisc,irwin_ADSPermissionState,irwin_CalculatedAcres,irwin_ContainmentDateTime,irwin_ControlDateTime,irwin_DailyAcres,irwin_DiscoveryAcres,irwin_DispatchCenterID,irwin_EstimatedCostToDate,irwin_FFReportApprovedByTitle,irwin_FFReportApprovedByUnit,irwin_FFReportApprovedDate,irwin_FireBehaviorGeneral,irwin_FireBehaviorGeneral1,irwin_FireBehaviorGeneral2,irwin_FireBehaviorGeneral3,irwin_FireCause,irwin_FireCauseGeneral,irwin_FireCauseSpecific,irwin_FireCode,irwin_FireDepartmentID,irwin_FireDiscoveryDateTime,irwin_FireMgmtComplexity,irwin_FireOutDateTime,irwin_FSConfinePercent,irwin_FSFullSuppPercent,irwin_FSMonitorPercent,irwin_FSPointZonePercent,irwin_FSJobCode,irwin_FSOverrideCode,irwin_GACC,irwin_ICS209ReportDateTime,irwin_ICS209RForTimePeriodFrom,irwin_ICS209RForTimePeriodTo,irwin_ICS209ReportStatus,irwin_IncidentManagementOrg,irwin_IncidentName,irwin_IncidentShortDescription,irwin_IncidentTypeCategory,irwin_IncidentTypeKind,irwin_InitialLatitude,irwin_InitialLongitude,irwin_InitialResponseAcres,irwin_InitialResponseDateTime,irwin_IrwinID,irwin_IsFireCauseInvestigated,irwin_IsFireCodeRequested,irwin_IsFSAssisted,irwin_IsMultiJurisdictional,irwin_IsReimbursable,irwin_IsTrespass,irwin_IsUnifiedCommand,irwin_LocalIncidentIdentifier,irwin_PercentContained,irwin_PercentPerToBeContained,irwin_POOCity,irwin_POOCounty,irwin_POODispatchCenterID,irwin_POOFips,irwin_POOJurisdictionalAgency,irwin_POOJurisdictionalUnit,irwin_POOJurisdUnitParentUnit,irwin_POOLandownerCategory,irwin_POOLandownerKind,irwin_POOLegalDescPrinMeridian,irwin_POOLegalDescQtr,irwin_POOLegalDescQtrQtr,irwin_POOLegalDescRange,irwin_POOLegalDescSection,irwin_POOLegalDescTownship,irwin_POOPredServiceAreaID,irwin_POOProtectingAgency,irwin_POOProtectingUnit,irwin_POOState,irwin_PredominantFuelGroup,irwin_PredominantFuelModel,irwin_PrimaryFuelModel,irwin_SecondaryFuelModel,irwin_TotalIncidentPersonnel,irwin_UniqueFireIdentifier,irwin_WFDSSDecisionStatus,irwin_CreatedBySystem,irwin_ModifiedBySystem,irwin_IsDispatchComplete,irwin_OrganizationalAssessment,irwin_StratDecisionPublishDate,irwin_GlobalID,irwin_Source,irwin_ArchivedOn,irwin_ModifiedOnDateTime_dt,irwin_CreatedOnDateTime_dt,GlobalID,irwin_IsCpxChild,irwin_CpxName,irwin_CpxID,SHAPE_Length,SHAPE_Area
14680,Muck Farm,Wildfire Final Fire Perimeter,Phone/Tablet,2.99026406,2022/06/14 16:18:45+00,2022/06/14 16:18:45+00,2022/06/14 16:18:45+00,2.96229305248208,{FE959070-6FAC-4A71-8EA0-70EBAE10E6DF},FFP,,FIREREPORTING,,2022/06/14 15:59:59+00,2022/06/14 15:59:59+00,3,3,FLFIC,,,,,,,,,Undetermined,Undetermined,,PEW8,,2022/01/04 17:39:00+00,,2022/06/14 15:59:59+00,,,,,P8,0805,SACC,,,,,,Muck Farm,,WF,FI,29.13119,-81.90302,3,,{50D5B76F-E440-44C0-A291-70832840B8A0},,0,0,0,0,0,,000010,,,,Marion,FLFIC,12083,FS,FLFNF,,USFS,Federal,,,,,,,SA48,FS,FLFNF,US-FL,Brush,SH7,,,,2022-FLFNF-000010,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/06/14 16:09:58+00,2022/01/04 23:22:37+00,{35A7B8E8-6143-4B2A-AE86-39E23AAF79A0},0,,,0.00472257346382815,-1.11147452794868e-06
14683,Muck Farm 3,Wildfire Final Fire Perimeter,Hand Sketch,0.00998508,2022/06/14 16:05:11+00,2022/06/14 16:05:11+00,2022/06/14 16:05:11+00,0.00998504164428124,{0C87AA07-CE71-49E8-93AA-BC91E1673F1A},FFP,,FIREREPORTING,,2022/01/11 16:18:00+00,2022/01/11 16:18:00+00,0.1,1,FLFIC,,,,,,,,,Undetermined,Undetermined,,PEX7,,2022/01/05 15:40:00+00,,2022/01/11 16:18:00+00,,,,,P8,0805,SACC,,,,,,Muck Farm 3,,WF,FI,29.1145,-81.92783,0.1,2022/01/05 15:40:00+00,{C8A22A9F-7B02-431E-B147-EA8C5F83BC8B},,0,0,0,0,0,,000015,,,,Marion,FLFIC,12083,USFS,FLFNF,,USFS,Federal,,,,,,,SA48,FS,FLFNF,US-FL,Grass-Shrub,GS2,,,,2022-FLFNF-000015,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/04/19 19:49:28+00,2022/01/05 16:23:59+00,{1D31F0F5-E2B6-4735-8812-C9992E1A469E},0,,,0.00022978782480302,-3.74583781251675e-09
14698,Day,Wildfire Daily Fire Perimeter,Image Interpretation,257.4541505118,2022/01/05 23:28:22+00,2022/10/21 14:55:45+00,,257.453232591312,{137A0F2D-41CF-4B75-96A4-F9F0E4F670BE},2022 NIFS,,FIREREPORTING,,2022/01/01 21:17:00+00,2022/01/10 14:45:00+00,42,1,LALIC,,,,,,,,,Undetermined,,,PET1,,2022/01/01 17:45:59+00,,2022/01/10 14:47:00+00,,,,,P8,,SACC,,,,,,Day,,WF,FI,30.98341,-92.9164,0.1,,{51E2E285-18C9-4AD5-AC55-3B852E439751},,0,1,0,0,1,,000002,,,,Vernon,LALIC,22115,FS,LAKIF,,USFS,Federal,,,,,,,SA19,FS,LAKIF,US-LA,,,,,,2022-LAKIF-000002,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/01/10 16:10:56+00,2022/01/01 18:01:19+00,{29180A93-0245-44BD-A392-13592BD678AB},0,,,0.0689487320516027,-9.838932191477e-05
14700,Pelt,Wildfire Daily Fire Perimeter,Image Interpretation,,2022/01/19 22:56:18+00,2022/01/19 22:56:18+00,,113.023343749333,{A8C4215D-4BA9-485C-BA50-A4701421311C},FFP,,CERTIFIED,,2022/01/01 19:01:00+00,2022/01/10 14:45:00+00,196,1,LALIC,,,,2022/01/19 22:56:14+00,,,,,Human,Other Human Cause,,PET0,,2022/01/01 15:46:59+00,,2022/01/10 14:47:00+00,,,,,P8,,SACC,,,,,,Pelt,,WF,FI,31.02121,-92.9519,0.1,2022/01/01 16:30:00+00,{D0C31447-C7F0-4F74-B09D-6A953BA95F25},,0,1,0,0,1,,000001,,,,Vernon,LALIC,22115,FS,LAKIF,,USFS,Federal,,,,,,,SA19,FS,LAKIF,US-LA,Grass-Shrub,GS2,,,,2022-LAKIF-000001,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/01/19 22:56:16+00,2022/01/01 16:50:50+00,{524E1D0F-13EE-495B-AE84-0DE5C87D4844},0,,,0.0625184969974881,-4.32059163565212e-05
14805,Beaver Pond,Wildfire Daily Fire Perimeter,GPS-Walked/Driven,432.10209971522,2022/01/07 21:54:11+00,2022/10/21 14:55:48+00,2022/01/07 12:57:00+00,432.100592839659,{DB72D8E1-17A9-4F13-AEB1-375BBC732716},2022 NIFS,,DEFAULT,,2022/01/07 22:21:59+00,2022/01/10 14:18:02+00,420,350,TXTIC,0,,,,Moderate,Smoldering,,,Human,Debris/Open Burning,Broadcast/Prescribed Burn,,,2022/01/07 00:01:59+00,Type 4 Incident,2022/01/10 14:18:12+00,0,100,0,0,,,SACC,2022/01/07 21:59:59+00,2022/01/07 00:14:59+00,2022/01/07 21:59:59+00,F,Type 4 IC,Beaver Pond,About 5 miles south of Nacogdoches,WF,FI,31.50350386,-94.70548395,,,{A4EABFAC-F4FB-4AAD-8889-B5BDE9BCC628},,0,,,,,0,220126,100,100,,Nacogdoches,TXTIC,48347,SFS,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Timber (Grass and Understory),,17,2022-TXTXS-220126,No Decision,wires,wires,0,,,,IRWIN,,2022/01/10 14:18:52+00,2022/01/07 05:02:31+00,{F8C884FE-0A3B-4E13-8DEF-433DF489E368},0,,,0.0761520852012414,-0.000166024319000687
14814,Welding,Wildfire Daily Fire Perimeter,Hand Sketch,0.310673596233966,2022/01/08 13:17:25+00,2022/10/21 14:55:48+00,,0.310672487672996,{1A02C437-4C65-4D0D-9A21-9B3248D4CB94},2022 NIFS,,FIREREPORTING,,2022/01/06 21:46:59+00,2022/01/07 15:49:00+00,0.25,1,TXTIC,,,,,,,,,Undetermined,Equipment,"Other, Known",,,2022/01/06 19:21:50+00,,2022/01/07 15:49:59+00,,,,,,,SACC,,,,,,Welding,,WF,FI,30.62443,-95.3852,0.25,,{1CA5C392-4120-4E57-9509-473267D58A05},0,0,0,0,0,0,,000008,,,,Walker,TXTIC,48471,,,,Private,Private,,,,,,,SA12,FS,TXTXF,US-TX,,,,,,2022-TXTXF-000008,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/01/10 20:53:04+00,2022/01/06 23:53:46+00,{BA1705FB-06AE-4980-B773-BA4DD521A77B},0,,,0.00151168916510479,-1.18284195605752e-07
14859,Davis Street,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/01/14 15:35:55+00,2022/01/14 15:35:55+00,,82.6593506289802,{46195D43-1EA0-4C2E-A7C6-4637EF8BBF31},FFP,,CERTIFIED,,2022/01/12 21:49:00+00,2022/01/12 21:49:59+00,0.3,0.3,TXTIC,,,,2022/01/14 15:35:53+00,,,,,Human,Debris/Open Burning,,,,2022/01/12 21:46:08+00,,2022/01/12 21:53:00+00,,,,,,,SACC,,,,,,Davis Street,,WF,FI,35.43255,-101.8697,0.25,,{22728209-C12E-4E90-A2EF-6090F4AFDF9F},,0,0,0,0,0,,000014,,,,Hutchinson,TXTIC,48233,,,,Private,Private,,,,,,,SW13,NPS,TXLAP,US-TX,,,,,,2022-TXLAP-000014,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/01/14 15:35:53+00,2022/01/12 22:06:12+00,{5E6B01C3-BE97-4173-BB96-2469B88B8E56},0,,,0.0282087114686301,-3.34165855297195e-05
14860,Sunrise,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/01/14 15:24:44+00,2022/01/14 15:24:44+00,,66.2425517737594,{796B79C4-D992-4E8B-B3B3-A12BED60929F},FFP,,CERTIFIED,,2022/01/13 14:29:59+00,2022/01/13 15:00:00+00,71,15,TXTIC,,,,2022/01/14 15:24:43+00,,,,,Human,Utilities,,,,2022/01/13 13:57:17+00,,2022/01/13 23:00:00+00,,,,,,,SACC,,,,,,Sunrise,,WF,FI,35.56912,-101.6398,15,,{77E89DA5-CAA3-4236-9B43-BDD3FC6FF2F9},,0,0,0,0,0,,000015,,,,Hutchinson,TXTIC,48233,,,,Private,Private,,,,,,,SW13,NPS,TXLAP,US-TX,,,,,,2022-TXLAP-000015,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/01/14 15:24:43+00,2022/01/13 15:45:45+00,{FD5987D9-19F2-4595-9488-E1C2CFE7A48F},0,,,0.0268089776983647,-2.67797614346693e-05
14873,Spring Creek,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/01/14 17:07:17+00,2022/01/14 17:07:17+00,,20.2479471600616,{AF7D191F-A32E-4E9C-A00D-6CFEFD42B25D},FFP,,CERTIFIED,,2022/01/13 22:44:59+00,,20,1,TXTIC,,,,2022/01/14 17:07:15+00,,,,,Human,Equipment,Oil and Gas Production,,KZ601,2022/01/13 21:16:39+00,,,,,,,,,SACC,,,,,,Spring Creek,,WF,FI,35.64846,-101.2299,20,,{4C916F81-20A9-4772-89B1-EF2EA46FB383},1,0,0,0,0,0,,000017,,,,Hutchinson,TXTIC,48233,,,,Private,Private,,,,,,,SW13,NPS,TXLAP,US-TX,Grass-Shrub,GS2,,,,2022-TXLAP-000017,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/01/14 17:07:15+00,2022/01/13 22:38:13+00,{8FE261E3-9548-4DA5-83C6-708C067FEDB4},0,,,0.0128904694604663,-8.15744463328954e-06
14879,Bream Pond 2,Wildfire Final Fire Perimeter,Hand Sketch,0.02616873,2022/08/05 20:50:01+00,2022/08/05 20:50:01+00,2022/08/05 20:50:00+00,0.0261686412320255,{B21AB665-88D2-43B0-8104-CDBFDB212418},FFP,,FIREREPORTING,,2022/01/06 15:23:00+00,2022/01/11 17:29:59+00,0.1,1,FLFIC,,,,,,,,,Undetermined,Undetermined,,PE1A,,2022/01/06 10:54:00+00,,2022/01/11 17:29:59+00,,,,,P8,0805,SACC,,,,,,Bream Pond 2,,WF,FI,29.16088,-81.89591,0.1,2022/01/06 12:00:00+00,{D9B72813-9805-494E-80AD-ED01A6EE3E34},,0,0,0,0,0,,000017,,,,Marion,FLFIC,12083,USFS,FLFNF,,USFS,Federal,,,,,,,SA48,FS,FLFNF,US-FL,Timber,TL6,,,,2022-FLFNF-000017,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/04/21 18:18:32+00,2022/01/07 13:35:31+00,{607B2BD8-7AEF-439D-8266-4D2A8C2D3D63},0,,,0.000430620378746945,-9.82095246479222e-09
